numbers,pokedex_number,name,hp,attack,defense,sp_attack,sp_defense,speed,generation,is_legendary,icon,type1,type2,height_m,weight_kgs
42,31,Nidoqueen,90,92,87,75,85,76,1,False,http://cdn.bulbagarden.net/upload/3/31/031MS.png,Poison,Ground,1.3,60.0
43,32,Nidoran♂,46,57,40,40,40,50,1,False,http://cdn.bulbagarden.net/upload/f/fb/032MS.png,Poison,,0.5,9.0
44,33,Nidorino,61,72,57,55,55,65,1,False,http://cdn.bulbagarden.net/upload/0/0e/033MS.png,Poison,,0.9,19.5
45,34,Nidoking,81,102,77,85,75,85,1,False,http://cdn.bulbagarden.net/upload/1/18/034MS.png,Poison,Ground,1.4,62.0
46,35,Clefairy,70,45,48,60,65,35,1,False,http://cdn.bulbagarden.net/upload/f/f9/035MS.png,Fairy,,0.6,7.5
47,36,Clefable,95,70,73,95,90,60,1,False,http://cdn.bulbagarden.net/upload/7/75/036MS.png,Fairy,,1.3,40.0
48,37,Vulpix,38,41,40,50,65,65,1,False,http://cdn.bulbagarden.net/upload/8/85/037MS.png,Fire,,0.6,9.9
49,37,Vulpix (Alolan Vulpix),38,41,40,50,65,65,1,False,https://cdn.bulbagarden.net/upload/2/20/037AMS.png,Ice,,0.6,9.9
50,38,Ninetales,73,76,75,81,100,100,1,False,http://cdn.bulbagarden.net/upload/1/10/038MS.png,Fire,,1.1,19.9
51,38,Ninetales (Alolan Ninetales),73,67,75,81,100,109,1,False,https://cdn.bulbagarden.net/upload/1/13/038AMS.png,Ice,Fairy,1.1,19.9
52,39,Jigglypuff,115,45,20,45,25,20,1,False,http://cdn.bulbagarden.net/upload/9/9c/039MS.png,Normal,Fairy,0.5,5.5
53,40,Wigglytuff,140,70,45,85,50,45,1,False,http://cdn.bulbagarden.net/upload/f/f1/040MS.png,Normal,Fairy,1.0,12.0
54,41,Zubat,40,45,35,30,40,55,1,False,http://cdn.bulbagarden.net/upload/9/96/041MS.png,Poison,Flying,0.8,7.5
55,42,Golbat,75,80,70,65,75,90,1,False,http://cdn.bulbagarden.net/upload/d/d0/042MS.png,Poison,Flying,1.6,55.0
56,43,Oddish,45,50,55,75,65,30,1,False,http://cdn.bulbagarden.net/upload/a/a5/043MS.png,Grass,Poison,0.5,5.4
57,44,Gloom,60,65,70,85,75,40,1,False,http://cdn.bulbagarden.net/upload/d/d9/044MS.png,Grass,Poison,0.8,8.6
58,45,Vileplume,75,80,85,110,90,50,1,False,http://cdn.bulbagarden.net/upload/3/3e/045MS.png,Grass,Poison,1.2,18.6
59,46,Paras,35,70,55,45,55,25,1,False,http://cdn.bulbagarden.net/upload/7/7a/046MS.png,Bug,Grass,0.3,5.4
60,47,Parasect,60,95,80,60,80,30,1,False,http://cdn.bulbagarden.net/upload/4/41/047MS.png,Bug,Grass,1.0,29.5
61,48,Venonat,60,55,50,40,55,45,1,False,http://cdn.bulbagarden.net/upload/1/1e/048MS.png,Bug,Poison,1.0,30.0
62,49,Venomoth,70,65,60,90,75,90,1,False,http://cdn.bulbagarden.net/upload/3/31/049MS.png,Bug,Poison,1.5,12.5
63,50,Diglett,10,55,25,35,45,95,1,False,http://cdn.bulbagarden.net/upload/8/8b/050MS.png,Ground,,0.2,0.8
64,50,Diglett (Alolan Diglett),10,55,30,35,45,90,1,False,https://cdn.bulbagarden.net/upload/6/61/050AMS.png,Ground,Steel,0.2,1.0
65,51,Dugtrio,35,100,50,50,70,120,1,False,http://cdn.bulbagarden.net/upload/8/86/051MS.png,Ground,,0.7,33.3
66,51,Dugtrio (Alolan Dugtrio),35,100,60,50,70,110,1,False,https://cdn.bulbagarden.net/upload/a/a6/051AMS.png,Ground,Steel,0.7,66.6
68,52,Meowth,40,45,35,40,40,90,1,False,http://cdn.bulbagarden.net/upload/5/50/052MS.png,Normal,,0.4,4.2
67,52,Meowth (Alolan Meowth),40,35,35,50,40,90,1,False,https://cdn.bulbagarden.net/upload/b/b1/052AMS.png,Dark,,0.4,4.2
70,53,Persian,65,70,60,65,65,115,1,False,http://cdn.bulbagarden.net/upload/a/a7/053MS.png,Normal,,1.0,32.0
69,53,Persian (Alolan Persian),65,60,60,75,65,115,1,False,https://cdn.bulbagarden.net/upload/f/ff/053AMS.png,Dark,,1.1,33.0
71,54,Psyduck,50,52,48,65,50,55,1,False,http://cdn.bulbagarden.net/upload/6/6b/054MS.png,Water,,0.8,19.6
72,55,Golduck,80,82,78,95,80,85,1,False,http://cdn.bulbagarden.net/upload/6/64/055MS.png,Water,,1.7,76.6
73,56,Mankey,40,80,35,35,45,70,1,False,http://cdn.bulbagarden.net/upload/a/ad/056MS.png,Fighting,,0.5,28.0
74,57,Primeape,65,105,60,60,70,95,1,False,http://cdn.bulbagarden.net/upload/f/f1/057MS.png,Fighting,,1.0,32.0
75,58,Growlithe,55,70,45,70,50,60,1,False,http://cdn.bulbagarden.net/upload/6/69/058MS.png,Fire,,0.7,19.0
76,59,Arcanine,90,110,80,100,80,95,1,False,http://cdn.bulbagarden.net/upload/3/35/059MS.png,Fire,,1.9,155.0
77,60,Poliwag,40,50,40,40,40,90,1,False,http://cdn.bulbagarden.net/upload/1/17/060MS.png,Water,,0.6,12.4
78,61,Poliwhirl,65,65,65,50,50,90,1,False,http://cdn.bulbagarden.net/upload/3/36/061MS.png,Water,,1.0,20.0
79,62,Poliwrath,90,95,95,70,90,70,1,False,http://cdn.bulbagarden.net/upload/5/5e/062MS.png,Water,Fighting,1.3,54.0
80,63,Abra,25,20,15,105,55,90,1,False,http://cdn.bulbagarden.net/upload/c/cf/063MS.png,Psychic,,0.9,19.5
81,64,Kadabra,40,35,30,120,70,105,1,False,http://cdn.bulbagarden.net/upload/b/b6/064MS.png,Psychic,,1.3,56.5
83,65,Alakazam,55,50,45,135,95,120,1,False,http://cdn.bulbagarden.net/upload/c/ca/065MS.png,Psychic,,1.5,48.0
82,65,Alakazam (Mega Alakazam),55,50,65,175,105,150,1,False,https://cdn.bulbagarden.net/upload/0/0c/065MMS.png,Psychic,,1.2,48.0
84,66,Machop,70,80,50,35,35,35,1,False,http://cdn.bulbagarden.net/upload/6/6c/066MS.png,Fighting,,0.8,19.5
85,67,Machoke,80,100,70,50,60,45,1,False,http://cdn.bulbagarden.net/upload/0/0f/067MS.png,Fighting,,1.5,70.5
86,68,Machamp,90,130,80,65,85,55,1,False,http://cdn.bulbagarden.net/upload/1/1e/068MS.png,Fighting,,1.6,130.0
87,69,Bellsprout,50,75,35,70,30,40,1,False,http://cdn.bulbagarden.net/upload/7/7b/069MS.png,Grass,Poison,0.7,4.0
88,70,Weepinbell,65,90,50,85,45,55,1,False,http://cdn.bulbagarden.net/upload/d/d5/070MS.png,Grass,Poison,1.0,6.4
89,71,Victreebel,80,105,65,100,70,70,1,False,http://cdn.bulbagarden.net/upload/9/9b/071MS.png,Grass,Poison,1.7,15.5
90,72,Tentacool,40,40,35,50,100,70,1,False,http://cdn.bulbagarden.net/upload/4/42/072MS.png,Water,Poison,0.9,45.5
91,73,Tentacruel,80,70,65,80,120,100,1,False,http://cdn.bulbagarden.net/upload/f/fc/073MS.png,Water,Poison,1.6,55.0
92,74,Geodude,40,80,100,30,30,20,1,False,http://cdn.bulbagarden.net/upload/0/04/074MS.png,Rock,Ground,0.4,20.0
93,74,Geodude (Alolan Geodude),40,80,100,30,30,20,1,False,https://cdn.bulbagarden.net/upload/d/d8/074AMS.png,Rock,Electric,0.4,20.3
94,75,Graveler,55,95,115,45,45,35,1,False,http://cdn.bulbagarden.net/upload/5/5c/075MS.png,Rock,Ground,1.0,105.0
95,75,Graveler (Alolan Graveler),55,95,115,45,45,35,1,False,https://cdn.bulbagarden.net/upload/4/41/075AMS.png,Rock,Electric,1.0,110.0
96,76,Golem,80,120,130,55,65,45,1,False,http://cdn.bulbagarden.net/upload/3/34/076MS.png,Rock,Ground,1.4,300.0
97,76,Golem (Alolan Golem),80,120,130,55,65,45,1,False,https://cdn.bulbagarden.net/upload/0/0c/076AMS.png,Rock,Electric,1.7,316.0
98,77,Ponyta,50,85,55,65,65,90,1,False,http://cdn.bulbagarden.net/upload/5/55/077MS.png,Fire,,1.0,30.0
99,78,Rapidash,65,100,70,80,80,105,1,False,http://cdn.bulbagarden.net/upload/6/66/078MS.png,Fire,,1.7,95.0
100,79,Slowpoke,90,65,65,40,40,15,1,False,http://cdn.bulbagarden.net/upload/6/6a/079MS.png,Water,Psychic,1.2,36.0
101,80,Slowbro,95,75,110,100,80,30,1,False,http://cdn.bulbagarden.net/upload/b/b6/080MS.png,Water,Psychic,1.6,78.5
102,80,Slowbro (Mega Slowbro),95,75,180,130,80,30,1,False,https://cdn.bulbagarden.net/upload/6/65/080MMS.png,Water,Psychic,2.0,120.0
103,81,Magnemite,25,35,70,95,55,45,1,False,http://cdn.bulbagarden.net/upload/0/0f/081MS.png,Electric,Steel,0.3,6.0
104,82,Magneton,50,60,95,120,70,70,1,False,http://cdn.bulbagarden.net/upload/0/0c/082MS.png,Electric,Steel,1.0,60.0
105,83,Farfetch'd,52,90,55,58,62,60,1,False,http://cdn.bulbagarden.net/upload/5/57/083MS.png,Normal,Flying,0.8,15.0
106,84,Doduo,35,85,45,35,35,75,1,False,http://cdn.bulbagarden.net/upload/f/fc/084MS.png,Normal,Flying,1.4,39.2
107,85,Dodrio,60,110,70,60,60,110,1,False,http://cdn.bulbagarden.net/upload/1/19/085MS.png,Normal,Flying,1.8,85.2
108,86,Seel,65,45,55,45,70,45,1,False,http://cdn.bulbagarden.net/upload/9/9b/086MS.png,Water,,1.1,90.0
109,87,Dewgong,90,70,80,70,95,70,1,False,http://cdn.bulbagarden.net/upload/2/20/087MS.png,Water,Ice,1.7,120.0
110,88,Grimer,80,80,50,40,50,25,1,False,http://cdn.bulbagarden.net/upload/5/50/088MS.png,Poison,,0.9,30.0
111,88,Grimer (Alolan Grimer),80,80,50,40,50,25,1,False,https://cdn.bulbagarden.net/upload/9/9e/088AMS.png,Poison,Dark,0.7,42.0
113,89,Muk,105,105,75,65,100,50,1,False,http://cdn.bulbagarden.net/upload/b/b4/089MS.png,Poison,,1.2,30.0
112,89,Muk (Alolan Muk),105,105,75,65,100,50,1,False,https://cdn.bulbagarden.net/upload/e/e4/089AMS.png,Poison,Dark,1.0,52.0
114,90,Shellder,30,65,100,45,25,40,1,False,http://cdn.bulbagarden.net/upload/4/41/090MS.png,Water,,0.3,4.0
115,91,Cloyster,50,95,180,85,45,70,1,False,http://cdn.bulbagarden.net/upload/b/bc/091MS.png,Water,Ice,1.5,132.5
116,92,Gastly,30,35,30,100,35,80,1,False,http://cdn.bulbagarden.net/upload/c/cf/092MS.png,Ghost,Poison,1.3,0.1
117,93,Haunter,45,50,45,115,55,95,1,False,http://cdn.bulbagarden.net/upload/7/71/093MS.png,Ghost,Poison,1.6,0.1
118,94,Gengar,60,65,60,130,75,110,1,False,http://cdn.bulbagarden.net/upload/a/a4/094MS.png,Ghost,Poison,1.5,40.5
119,94,Gengar (Mega Gengar),60,65,80,170,95,130,1,False,https://cdn.bulbagarden.net/upload/f/f4/094MMS.png,Ghost,Poison,1.4,40.5
120,95,Onix,35,45,160,30,45,70,1,False,http://cdn.bulbagarden.net/upload/c/cd/095MS.png,Rock,Ground,8.8,210.0
121,96,Drowzee,60,48,45,43,90,42,1,False,http://cdn.bulbagarden.net/upload/8/8e/096MS.png,Psychic,,1.0,32.4
122,97,Hypno,85,73,70,73,115,67,1,False,http://cdn.bulbagarden.net/upload/9/98/097MS.png,Psychic,,1.6,75.6
123,98,Krabby,30,105,90,25,25,50,1,False,http://cdn.bulbagarden.net/upload/4/40/098MS.png,Water,,0.4,6.5
124,99,Kingler,55,130,115,50,50,75,1,False,http://cdn.bulbagarden.net/upload/5/5c/099MS.png,Water,,1.3,60.0
125,100,Voltorb,40,30,50,55,55,100,1,False,http://cdn.bulbagarden.net/upload/c/c1/100MS.png,Electric,,0.5,10.4
126,101,Electrode,60,50,70,80,80,150,1,False,http://cdn.bulbagarden.net/upload/6/69/101MS.png,Electric,,1.2,66.6
127,102,Exeggcute,60,40,80,60,45,40,1,False,http://cdn.bulbagarden.net/upload/a/a6/102MS.png,Grass,Psychic,0.4,2.5
128,103,Exeggutor,95,95,85,125,75,55,1,False,http://cdn.bulbagarden.net/upload/d/db/103MS.png,Grass,Psychic,2.0,120.0
129,103,Exeggutor (Alolan Exeggutor),95,105,85,125,75,45,1,False,https://cdn.bulbagarden.net/upload/2/25/103AMS.png,Grass,Dragon,10.9,415.6
130,104,Cubone,50,50,95,40,50,35,1,False,http://cdn.bulbagarden.net/upload/2/2e/104MS.png,Ground,,0.4,6.5
131,105,Marowak,60,80,110,50,80,45,1,False,http://cdn.bulbagarden.net/upload/6/6f/105MS.png,Ground,,1.0,45.0
132,105,Marowak (Alolan Marowak),60,80,110,50,80,45,1,False,https://cdn.bulbagarden.net/upload/e/e5/105AMS.png,Fire,Ghost,1.0,34.0
133,106,Hitmonlee,50,120,53,35,110,87,1,False,http://cdn.bulbagarden.net/upload/6/60/106MS.png,Fighting,,1.5,49.8
134,107,Hitmonchan,50,105,79,35,110,76,1,False,http://cdn.bulbagarden.net/upload/1/1a/107MS.png,Fighting,,1.4,50.2
135,108,Lickitung,90,55,75,60,75,30,1,False,http://cdn.bulbagarden.net/upload/2/25/108MS.png,Normal,,1.2,65.5
136,109,Koffing,40,65,95,60,45,35,1,False,http://cdn.bulbagarden.net/upload/3/3f/109MS.png,Poison,,0.6,1.0
137,110,Weezing,65,90,120,85,70,60,1,False,http://cdn.bulbagarden.net/upload/2/22/110MS.png,Poison,,1.2,9.5
138,111,Rhyhorn,80,85,95,30,30,25,1,False,http://cdn.bulbagarden.net/upload/6/67/111MS.png,Ground,Rock,1.0,115.0
139,112,Rhydon,105,130,120,45,45,40,1,False,http://cdn.bulbagarden.net/upload/c/ce/112MS.png,Ground,Rock,1.9,120.0
140,113,Chansey,250,5,5,35,105,50,1,False,http://cdn.bulbagarden.net/upload/e/ea/113MS.png,Normal,,1.1,34.6
141,114,Tangela,65,55,115,100,40,60,1,False,http://cdn.bulbagarden.net/upload/4/45/114MS.png,Grass,,1.0,35.0
142,115,Kangaskhan,105,95,80,40,80,90,1,False,http://cdn.bulbagarden.net/upload/6/68/115MS.png,Normal,,2.2,80.0
143,115,Kangaskhan (Mega Kangaskhan),105,125,100,60,100,100,1,False,https://cdn.bulbagarden.net/upload/4/4d/115MMS.png,Normal,,2.2,100.0
144,116,Horsea,30,40,70,70,25,60,1,False,http://cdn.bulbagarden.net/upload/2/23/116MS.png,Water,,0.4,8.0
145,117,Seadra,55,65,95,95,45,85,1,False,http://cdn.bulbagarden.net/upload/8/81/117MS.png,Water,,1.2,25.0
146,118,Goldeen,45,67,60,35,50,63,1,False,http://cdn.bulbagarden.net/upload/9/9b/118MS.png,Water,,0.6,15.0
147,119,Seaking,80,92,65,65,80,68,1,False,http://cdn.bulbagarden.net/upload/8/88/119MS.png,Water,,1.3,39.0
148,120,Staryu,30,45,55,70,55,85,1,False,http://cdn.bulbagarden.net/upload/6/60/120MS.png,Water,,0.8,34.5
149,121,Starmie,60,75,85,100,85,115,1,False,http://cdn.bulbagarden.net/upload/5/55/121MS.png,Water,Psychic,1.1,80.0
150,122,Mr. Mime,40,45,65,100,120,90,1,False,http://cdn.bulbagarden.net/upload/5/58/122MS.png,Psychic,Fairy,1.3,54.5
151,123,Scyther,70,110,80,55,80,105,1,False,http://cdn.bulbagarden.net/upload/5/54/123MS.png,Bug,Flying,1.5,56.0
152,124,Jynx,65,50,35,115,95,95,1,False,http://cdn.bulbagarden.net/upload/f/f5/124MS.png,Ice,Psychic,1.4,40.6
153,125,Electabuzz,65,83,57,95,85,105,1,False,http://cdn.bulbagarden.net/upload/7/72/125MS.png,Electric,,1.1,30.0
154,126,Magmar,65,95,57,100,85,93,1,False,http://cdn.bulbagarden.net/upload/e/e7/126MS.png,Fire,,1.3,44.5
155,127,Pinsir,65,125,100,55,70,85,1,False,http://cdn.bulbagarden.net/upload/5/5c/127MS.png,Bug,,1.5,55.0
156,127,Pinsir (Mega Pinsir),65,155,120,65,90,105,1,False,https://cdn.bulbagarden.net/upload/f/fc/127MMS.png,Bug,Flying,1.7,59.0
157,128,Tauros,75,100,95,40,70,110,1,False,http://cdn.bulbagarden.net/upload/9/95/128MS.png,Normal,,1.4,88.4
158,129,Magikarp,20,10,55,15,20,80,1,False,http://cdn.bulbagarden.net/upload/7/7c/129MS.png,Water,,0.9,10.0
159,130,Gyarados,95,125,79,60,100,81,1,False,http://cdn.bulbagarden.net/upload/a/a0/130MS.png,Water,Flying,6.5,235.0
160,130,Gyarados (Mega Gyarados),95,155,109,70,130,81,1,False,https://cdn.bulbagarden.net/upload/f/ff/130MMS.png,Water,Dark,6.5,305.0
161,131,Lapras,130,85,80,85,95,60,1,False,http://cdn.bulbagarden.net/upload/4/4b/131MS.png,Water,Ice,2.5,220.0
162,132,Ditto,48,48,48,48,48,48,1,False,http://cdn.bulbagarden.net/upload/5/53/132MS.png,Normal,,0.3,4.0
164,133,Eevee,55,55,50,45,65,55,1,False,http://cdn.bulbagarden.net/upload/d/de/133MS.png,Normal,,0.3,6.5
163,133,Eevee (Partner Eevee),65,75,70,65,85,75,1,False,https://cdn.bulbagarden.net/upload/5/5e/133PaMS.png,Normal,,0.3,6.5
165,134,Vaporeon,130,65,60,110,95,65,1,False,http://cdn.bulbagarden.net/upload/b/be/134MS.png,Water,,1.0,29.0
166,135,Jolteon,65,65,60,110,95,130,1,False,http://cdn.bulbagarden.net/upload/1/16/135MS.png,Electric,,0.8,24.5
167,136,Flareon,65,130,60,95,110,65,1,False,http://cdn.bulbagarden.net/upload/3/30/136MS.png,Fire,,0.9,25.0
168,137,Porygon,65,60,70,85,75,40,1,False,http://cdn.bulbagarden.net/upload/f/f7/137MS.png,Normal,,0.8,36.5
169,138,Omanyte,35,40,100,90,55,35,1,False,http://cdn.bulbagarden.net/upload/9/97/138MS.png,Rock,Water,0.4,7.5
170,139,Omastar,70,60,125,115,70,55,1,False,http://cdn.bulbagarden.net/upload/2/2a/139MS.png,Rock,Water,1.0,35.0
171,140,Kabuto,30,80,90,55,45,55,1,False,http://cdn.bulbagarden.net/upload/1/1e/140MS.png,Rock,Water,0.5,11.5
172,141,Kabutops,60,115,105,65,70,80,1,False,http://cdn.bulbagarden.net/upload/0/08/141MS.png,Rock,Water,1.3,40.5
173,142,Aerodactyl,80,105,65,60,75,130,1,False,http://cdn.bulbagarden.net/upload/d/d1/142MS.png,Rock,Flying,1.8,59.0
174,142,Aerodactyl (Mega Aerodactyl),80,135,85,70,95,150,1,False,https://cdn.bulbagarden.net/upload/c/c4/142MMS.png,Rock,Flying,2.1,79.0
175,143,Snorlax,160,110,65,65,110,30,1,False,http://cdn.bulbagarden.net/upload/d/d6/143MS.png,Normal,,2.1,460.0
176,144,Articuno,90,85,100,95,125,85,1,True,http://cdn.bulbagarden.net/upload/0/04/144MS.png,Ice,Flying,1.7,55.4
177,145,Zapdos,90,90,85,125,90,100,1,True,http://cdn.bulbagarden.net/upload/3/3f/145MS.png,Electric,Flying,1.6,52.6
178,146,Moltres,90,100,90,125,85,90,1,True,http://cdn.bulbagarden.net/upload/f/fe/146MS.png,Fire,Flying,2.0,60.0
179,147,Dratini,41,64,45,50,50,50,1,False,http://cdn.bulbagarden.net/upload/2/26/147MS.png,Dragon,,1.8,3.3
180,148,Dragonair,61,84,65,70,70,70,1,False,http://cdn.bulbagarden.net/upload/4/4e/148MS.png,Dragon,,4.0,16.5
181,149,Dragonite,91,134,95,100,100,80,1,False,http://cdn.bulbagarden.net/upload/c/cc/149MS.png,Dragon,Flying,2.2,210.0
183,150,Mewtwo,106,110,90,154,90,130,1,True,http://cdn.bulbagarden.net/upload/1/1a/150MS.png,Psychic,,2.0,122.0
182,150,Mewtwo (Mega Mewtwo X),106,190,100,154,100,130,1,True,https://cdn.bulbagarden.net/upload/6/67/150MXMS.png,Psychic,Fighting,2.3,127.0
184,150,Mewtwo (Mega Mewtwo Y),106,150,70,194,120,140,1,True,https://cdn.bulbagarden.net/upload/f/ff/150MYMS.png,Psychic,,1.5,33.0
185,151,Mew,100,100,100,100,100,100,1,True,http://cdn.bulbagarden.net/upload/a/a7/151MS.png,Psychic,,0.4,4.0
186,152,Chikorita,45,49,65,49,65,45,2,False,http://cdn.bulbagarden.net/upload/7/79/152MS.png,Grass,,0.9,6.4
187,153,Bayleef,60,62,80,63,80,60,2,False,http://cdn.bulbagarden.net/upload/3/31/153MS.png,Grass,,1.2,15.8
188,154,Meganium,80,82,100,83,100,80,2,False,http://cdn.bulbagarden.net/upload/8/89/154MS.png,Grass,,1.8,100.5
189,155,Cyndaquil,39,52,43,60,50,65,2,False,http://cdn.bulbagarden.net/upload/3/39/155MS.png,Fire,,0.5,7.9
190,156,Quilava,58,64,58,80,65,80,2,False,http://cdn.bulbagarden.net/upload/3/36/156MS.png,Fire,,0.9,19.0
191,157,Typhlosion,78,84,78,109,85,100,2,False,http://cdn.bulbagarden.net/upload/5/56/157MS.png,Fire,,1.7,79.5
192,158,Totodile,50,65,64,44,48,43,2,False,http://cdn.bulbagarden.net/upload/f/f5/158MS.png,Water,,0.6,9.5
193,159,Croconaw,65,80,80,59,63,58,2,False,http://cdn.bulbagarden.net/upload/e/ea/159MS.png,Water,,1.1,25.0
194,160,Feraligatr,85,105,100,79,83,78,2,False,http://cdn.bulbagarden.net/upload/6/6d/160MS.png,Water,,2.3,88.8
195,161,Sentret,35,46,34,35,45,20,2,False,http://cdn.bulbagarden.net/upload/5/5c/161MS.png,Normal,,0.8,6.0
